max_depth,n_estimators,subsample,CrossValidationSet,Measurement,Drug,Concentration_Original,Concentration,Validation Spearman,Training MAE,Validation MAE
1,30,1,4,GrowthYield,CAM,1,2,0.40132721,0.30327507,0.293123392
1,30,1,4,DoublingTime,CAM,2,3,0.271780223,0.200885057,0.210355075
1,30,1,4,GrowthYield,CAM,2,3,0.467850194,0.551512017,0.527878813
1,30,1,4,DoublingTime,CIP,0.002,1,0.226689134,0.119230879,0.121937888
1,30,1,4,GrowthYield,CIP,0.002,1,0.092701529,0.225948883,0.233834293
1,30,1,4,DoublingTime,CIP,0.004,2,0.253411605,0.161930741,0.166168177
1,30,1,4,GrowthYield,CIP,0.004,2,0.285090956,0.492130358,0.551691257
1,30,1,4,DoublingTime,CIP,0.008,3,0.114972369,0.115539515,0.124567203
1,30,1,4,GrowthYield,CIP,0.008,3,0.525472667,0.777330675,0.888333303
1,30,1,4,DoublingTime,CTX,0.5,1,0.318366289,0.139997583,0.139307453
1,30,1,4,GrowthYield,CTX,0.5,1,0.645433439,1.205903935,1.279336533
1,30,1,4,DoublingTime,CTX,1,2,0.366094792,0.125573622,0.125004011
1,30,1,4,GrowthYield,CTX,1,2,0.652776724,1.307461004,1.40142586
1,30,1,4,DoublingTime,CTX,2,3,0.575755863,0.155796908,0.15044662
1,30,1,4,GrowthYield,CTX,2,3,0.659989514,1.442016165,1.508507004
1,30,1,4,DoublingTime,KAN,4,1,-0.014062996,0.104380422,0.116033751
1,30,1,4,GrowthYield,KAN,4,1,0.347196921,0.417296626,0.415019649
1,30,1,4,DoublingTime,KAN,8,2,0.430508483,0.151629761,0.165141143
1,30,1,4,GrowthYield,KAN,8,2,0.539230302,0.800160426,0.79977043
1,30,1,4,DoublingTime,KAN,16,3,0.486202578,0.247383426,0.267629299
1,30,1,4,GrowthYield,KAN,16,3,0.522393923,1.243961057,1.20748697
1,30,1,4,DoublingTime,TET,0.3,1,0.327887292,0.155986709,0.164521964
1,30,1,4,GrowthYield,TET,0.3,1,0.528531822,0.342629083,0.340517977
1,30,1,4,DoublingTime,TET,0.6,2,0.333919657,0.227232716,0.238849316
1,30,1,4,GrowthYield,TET,0.6,2,0.546183279,0.732420096,0.746863081
1,30,1,4,DoublingTime,TET,1.25,3,0.621645265,0.30266403,0.319360982
1,30,1,4,GrowthYield,TET,1.25,3,0.659226607,1.130082327,1.118736849
1,30,1,4,DoublingTime,TRIM,0.125,1,0.319439476,0.157303622,0.161344122
