alpha,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
0.0001,3,GrowthYield,CAM,1,2,0.999240998,0.291336304,0.012013725,0.382132947
0.0001,3,DoublingTime,CAM,2,3,0.998305939,0.122734156,0.012229545,0.280621738
0.0001,3,GrowthYield,CAM,2,3,0.999742001,0.407393806,0.011978648,0.681325137
0.0001,3,DoublingTime,CIP,0.002,1,0.994234016,0.21736525,0.012251317,0.151824683
0.0001,3,GrowthYield,CIP,0.002,1,0.99833808,0.067544268,0.012371189,0.316101632
0.0001,3,DoublingTime,CIP,0.004,2,0.997913411,0.207360274,0.011749309,0.202409368
0.0001,3,GrowthYield,CIP,0.004,2,0.999608884,0.294037794,0.012180944,0.61553333
0.0001,3,DoublingTime,CIP,0.008,3,0.995520612,0.236208612,0.011826094,0.155250547
0.0001,3,GrowthYield,CIP,0.008,3,0.999888821,0.414401995,0.012100347,0.991216091
0.0001,3,DoublingTime,CTX,0.5,1,0.9969698,0.306007096,0.011745584,0.176043212
0.0001,3,GrowthYield,CTX,0.5,1,0.999924024,0.632482774,0.012939025,1.352088771
0.0001,3,DoublingTime,CTX,1,2,0.99511987,0.302963796,0.012422773,0.161694919
0.0001,3,GrowthYield,CTX,1,2,0.999934545,0.631818624,0.012232874,1.437916536
0.0001,3,DoublingTime,CTX,2,3,0.997777848,0.443263313,0.01176616,0.193009761
0.0001,3,GrowthYield,CTX,2,3,0.999940095,0.617983429,0.012471565,1.631899575
0.0001,3,DoublingTime,KAN,4,1,0.994254442,0.20456522,0.011275,0.136440108
0.0001,3,GrowthYield,KAN,4,1,0.99955403,0.303705827,0.011872216,0.58161784
0.0001,3,DoublingTime,KAN,8,2,0.99670289,0.224025679,0.011670772,0.206641396
0.0001,3,GrowthYield,KAN,8,2,0.999888363,0.432123117,0.012117504,0.929504611
0.0001,3,DoublingTime,KAN,16,3,0.999055156,0.36332194,0.011708411,0.312483694
0.0001,3,GrowthYield,KAN,16,3,0.999951312,0.405804281,0.012342686,1.539763003
0.0001,3,DoublingTime,TET,0.3,1,0.997357177,0.19988372,0.011856633,0.217600844
0.0001,3,GrowthYield,TET,0.3,1,0.999306473,0.428703934,0.01249523,0.426710516
0.0001,3,DoublingTime,TET,0.6,2,0.998816389,0.343578622,0.012051218,0.26291755
0.0001,3,GrowthYield,TET,0.6,2,0.999886474,0.471589741,0.012567469,0.973677485
0.0001,3,DoublingTime,TET,1.25,3,0.999457469,0.573623295,0.012366688,0.37273901
0.0001,3,GrowthYield,TET,1.25,3,0.999929852,0.561066101,0.012795306,1.393791787
0.0001,3,DoublingTime,TRIM,0.125,1,0.997031595,0.361215373,0.012761082,0.190645375
0.0001,3,GrowthYield,TRIM,0.125,1,0.999803159,0.490594274,0.012248581,0.763373363
0.0001,3,DoublingTime,TRIM,0.25,2,0.997669493,0.38691008,0.011967192,0.187595023
0.0001,3,GrowthYield,TRIM,0.25,2,0.999889557,0.51575301,0.012132535,1.023860765
0.0001,3,DoublingTime,TRIM,0.5,3,0.997463503,0.267934753,0.012330078,0.215020513
0.0001,3,GrowthYield,TRIM,0.5,3,0.999935301,0.635732133,0.012384355,1.263603167
0.0001,4,DoublingTime,NoAntimicrbial,NA,2,0.999071773,0.184089923,0.012009182,0.350057706
0.0001,4,GrowthYield,NoAntimicrbial,NA,2,0.99968292,0.291208405,0.013376755,0.785399881
0.0001,4,DoublingTime,CAM,0.5,1,0.99558928,0.137384314,0.012579784,0.185810353
0.0001,4,GrowthYield,CAM,0.5,1,0.998000914,0.193751252,0.012497984,0.304013933
0.0001,4,DoublingTime,CAM,1,2,0.995816023,0.151045556,0.012532964,0.181687539
0.0001,4,GrowthYield,CAM,1,2,0.999216561,0.281225477,0.012441047,0.388920718
0.0001,4,DoublingTime,CAM,2,3,0.997922412,0.226303323,0.013019274,0.26950207
0.0001,4,GrowthYield,CAM,2,3,0.999728049,0.316543508,0.012828415,0.667205588
0.0001,4,DoublingTime,CIP,0.002,1,0.994792987,0.180354887,0.012454113,0.158709293
0.0001,4,GrowthYield,CIP,0.002,1,0.997856386,0.34948674,0.012953461,0.268022341
0.0001,4,DoublingTime,CIP,0.004,2,0.997588646,0.188512035,0.012665933,0.204367507
0.0001,4,GrowthYield,CIP,0.004,2,0.999550088,0.388171654,0.012684281,0.639285369
0.0001,4,DoublingTime,CIP,0.008,3,0.994903684,0.192894549,0.012098391,0.158858696
0.0001,4,GrowthYield,CIP,0.008,3,0.999848466,0.458794873,0.012525614,1.056740354
0.0001,4,DoublingTime,CTX,0.5,1,0.996579243,0.296450298,0.012478894,0.17471497
