max_depth,n_estimators,subsample,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
1,30,1,1,GrowthYield,CIP,0.002,1,0.236408798,0.151187785,0.235592278,0.218697837
1,30,1,1,DoublingTime,CIP,0.004,2,0.26748749,0.134574759,0.167183614,0.175997527
1,30,1,1,GrowthYield,CIP,0.004,2,0.299402424,0.295091566,0.520637235,0.509826652
1,30,1,1,DoublingTime,CIP,0.008,3,0.184878395,0.093873392,0.120620662,0.116255051
1,30,1,1,GrowthYield,CIP,0.008,3,0.548893004,0.569733895,0.814843334,0.839082496
1,30,1,1,DoublingTime,CTX,0.5,1,0.397065791,0.440565648,0.14048091,0.137705908
1,30,1,1,GrowthYield,CTX,0.5,1,0.74080958,0.78602539,1.109005775,1.046423553
1,30,1,1,DoublingTime,CTX,1,2,0.382833899,0.427412282,0.124848271,0.121206937
1,30,1,1,GrowthYield,CTX,1,2,0.752765617,0.789304462,1.16740871,1.112705469
1,30,1,1,DoublingTime,CTX,2,3,0.574979962,0.607862164,0.152467698,0.145719151
1,30,1,1,GrowthYield,CTX,2,3,0.76319244,0.801751401,1.254739818,1.270643455
1,30,1,1,DoublingTime,KAN,4,1,0.151890741,-0.019839417,0.108984414,0.107661986
1,30,1,1,GrowthYield,KAN,4,1,0.316216931,0.299500971,0.426832375,0.421081956
1,30,1,1,DoublingTime,KAN,8,2,0.453613727,0.384738034,0.15916814,0.146318168
1,30,1,1,GrowthYield,KAN,8,2,0.508630616,0.498483851,0.822938492,0.802661859
1,30,1,1,DoublingTime,KAN,16,3,0.559257802,0.518484284,0.260743546,0.236336483
1,30,1,1,GrowthYield,KAN,16,3,0.53837567,0.514058508,1.236978873,1.295604229
1,30,1,1,DoublingTime,TET,0.3,1,0.444117385,0.465807956,0.161539178,0.144644797
1,30,1,1,GrowthYield,TET,0.3,1,0.542671807,0.535278205,0.346905719,0.331744653
1,30,1,1,DoublingTime,TET,0.6,2,0.378319282,0.246886599,0.22921004,0.231123708
1,30,1,1,GrowthYield,TET,0.6,2,0.602462695,0.668332917,0.748398907,0.704718717
1,30,1,1,DoublingTime,TET,1.25,3,0.653224189,0.702613222,0.318097208,0.279702009
1,30,1,1,GrowthYield,TET,1.25,3,0.632413522,0.678771428,1.16692554,1.137304275
1,30,1,1,DoublingTime,TRIM,0.125,1,0.365694563,0.351446529,0.16110064,0.161199269
1,30,1,1,GrowthYield,TRIM,0.125,1,0.525860868,0.57208848,0.638174878,0.638097063
1,30,1,1,DoublingTime,TRIM,0.25,2,0.478515004,0.473190748,0.155150884,0.158406665
1,30,1,1,GrowthYield,TRIM,0.25,2,0.534386392,0.560860382,0.873841975,0.834647576
1,30,1,1,DoublingTime,TRIM,0.5,3,0.317682051,0.368022888,0.167894192,0.175065546
1,30,1,1,GrowthYield,TRIM,0.5,3,0.601608234,0.620214058,1.140552501,1.156342783
1,30,1,2,DoublingTime,NoAntimicrbial,NA,2,0.330304208,0.284866204,0.271804611,0.290620522
1,30,1,2,GrowthYield,NoAntimicrbial,NA,2,0.314658403,0.24621084,0.588668323,0.65919165
1,30,1,2,DoublingTime,CAM,0.5,1,0.226764409,0.030853766,0.135110757,0.135762164
1,30,1,2,GrowthYield,CAM,0.5,1,0.398513915,0.336738878,0.209660636,0.204668434
1,30,1,2,DoublingTime,CAM,1,2,0.217650583,-0.033023086,0.134025217,0.129023281
1,30,1,2,GrowthYield,CAM,1,2,0.409898418,0.320930167,0.297945271,0.321812807
1,30,1,2,DoublingTime,CAM,2,3,0.325677791,0.219034752,0.202419218,0.214925498
1,30,1,2,GrowthYield,CAM,2,3,0.484156319,0.43723784,0.552908159,0.595407123
1,30,1,2,DoublingTime,CIP,0.002,1,0.272714448,0.173861187,0.119732049,0.12523602
1,30,1,2,GrowthYield,CIP,0.002,1,0.206099429,0.164645486,0.230290157,0.237090606
1,30,1,2,DoublingTime,CIP,0.004,2,0.250635873,0.195404716,0.169483884,0.17017306
1,30,1,2,GrowthYield,CIP,0.004,2,0.310678898,0.245740789,0.521667041,0.50850525
1,30,1,2,DoublingTime,CIP,0.008,3,0.179505761,0.128994522,0.120066216,0.1181215
1,30,1,2,GrowthYield,CIP,0.008,3,0.568722493,0.61274721,0.830476538,0.804967933
1,30,1,2,DoublingTime,CTX,0.5,1,0.432118442,0.255161092,0.140646998,0.133859652
1,30,1,2,GrowthYield,CTX,0.5,1,0.761061185,0.754629192,1.072474213,1.070967643
1,30,1,2,DoublingTime,CTX,1,2,0.406062799,0.287267406,0.125005399,0.11679549
1,30,1,2,GrowthYield,CTX,1,2,0.77845345,0.75345758,1.129492387,1.12423455
1,30,1,2,DoublingTime,CTX,2,3,0.593713946,0.55352765,0.150682658,0.14386716
1,30,1,2,GrowthYield,CTX,2,3,0.777109085,0.775222343,1.238593526,1.188215513
1,30,1,2,DoublingTime,KAN,4,1,0.222860512,0.072655525,0.108597218,0.108307036
1,30,1,2,GrowthYield,KAN,4,1,0.342960543,0.352971205,0.42205636,0.425492537
1,30,1,2,DoublingTime,KAN,8,2,0.435775106,0.461003124,0.153572183,0.162465389
1,30,1,2,GrowthYield,KAN,8,2,0.481018322,0.583044757,0.815195097,0.83277153
1,30,1,2,DoublingTime,KAN,16,3,0.550463728,0.578642195,0.24986882,0.271381561
1,30,1,2,GrowthYield,KAN,16,3,0.51296929,0.601601334,1.245110096,1.304814283
1,30,1,2,DoublingTime,TET,0.3,1,0.45137347,0.418007369,0.155046586,0.163446259
1,30,1,2,GrowthYield,TET,0.3,1,0.549080765,0.516572046,0.340338876,0.355129257
1,30,1,2,DoublingTime,TET,0.6,2,0.360465741,0.365447694,0.226228738,0.241658115
1,30,1,2,GrowthYield,TET,0.6,2,0.638654255,0.557824428,0.714735367,0.791116583
1,30,1,2,DoublingTime,TET,1.25,3,0.685771686,0.623243206,0.297531564,0.34245229
1,30,1,2,GrowthYield,TET,1.25,3,0.660969909,0.590486845,1.131464846,1.217887662
1,30,1,2,DoublingTime,TRIM,0.125,1,0.39281137,0.246768332,0.160276441,0.16513409
1,30,1,2,GrowthYield,TRIM,0.125,1,0.548413152,0.551008845,0.634570809,0.649429966
1,30,1,2,DoublingTime,TRIM,0.25,2,0.47248323,0.474784659,0.157218512,0.155446597
1,30,1,2,GrowthYield,TRIM,0.25,2,0.574548725,0.526792828,0.854544132,0.855409191
1,30,1,2,DoublingTime,TRIM,0.5,3,0.350312123,0.249145035,0.168439006,0.170158156
1,30,1,2,GrowthYield,TRIM,0.5,3,0.591833321,0.596491216,1.135236311,1.151270151
1,30,1,3,DoublingTime,NoAntimicrbial,NA,2,0.35704066,0.221742523,0.278587803,0.26756351
1,30,1,3,GrowthYield,NoAntimicrbial,NA,2,0.336820554,0.200997301,0.6053538,0.614541513
1,30,1,3,DoublingTime,CAM,0.5,1,0.150907663,0.148121807,0.135591522,0.133793829
1,30,1,3,GrowthYield,CAM,0.5,1,0.39138687,0.359382168,0.209999617,0.20399471
1,30,1,3,DoublingTime,CAM,1,2,0.223548358,0.068893646,0.133552238,0.127886124
1,30,1,3,GrowthYield,CAM,1,2,0.390268883,0.359524782,0.302816274,0.313520766
1,30,1,3,DoublingTime,CAM,2,3,0.316264981,0.244582604,0.205383365,0.202483096
1,30,1,3,GrowthYield,CAM,2,3,0.484418224,0.425997733,0.555998478,0.583104295
1,30,1,3,DoublingTime,CIP,0.002,1,0.23743056,0.261983776,0.121939137,0.120185903
1,30,1,3,GrowthYield,CIP,0.002,1,0.2110857,0.2105566,0.228613061,0.242317714
1,30,1,3,DoublingTime,CIP,0.004,2,0.236563385,0.213604565,0.171069017,0.166363178
1,30,1,3,GrowthYield,CIP,0.004,2,0.31448999,0.245549572,0.518395933,0.518483555
1,30,1,3,DoublingTime,CIP,0.008,3,0.159914888,0.23726022,0.118404996,0.124258542
1,30,1,3,GrowthYield,CIP,0.008,3,0.585687547,0.541629278,0.840533355,0.777705067
1,30,1,3,DoublingTime,CTX,0.5,1,0.402876222,0.369498503,0.133940362,0.153964459
1,30,1,3,GrowthYield,CTX,0.5,1,0.759538575,0.73705873,1.06617448,1.099922078
1,30,1,3,DoublingTime,CTX,1,2,0.398991655,0.365492933,0.118596646,0.138992736
1,30,1,3,GrowthYield,CTX,1,2,0.774340915,0.750878145,1.117103636,1.163314025
1,30,1,3,DoublingTime,CTX,2,3,0.582172041,0.490082816,0.144340081,0.166416016
1,30,1,3,GrowthYield,CTX,2,3,0.778204927,0.730484398,1.212149337,1.268264355
1,30,1,3,DoublingTime,KAN,4,1,0.217471759,-0.010180987,0.10804302,0.110449452
1,30,1,3,GrowthYield,KAN,4,1,0.342406483,0.278387926,0.419820207,0.439041389
1,30,1,3,DoublingTime,KAN,8,2,0.441624213,0.446563196,0.155015482,0.154448694
1,30,1,3,GrowthYield,KAN,8,2,0.526392958,0.465544281,0.813279157,0.832987277
1,30,1,3,DoublingTime,KAN,16,3,0.568460206,0.547732037,0.254068213,0.251142323
1,30,1,3,GrowthYield,KAN,16,3,0.561474536,0.459334191,1.253608503,1.239032707
1,30,1,3,DoublingTime,TET,0.3,1,0.459238017,0.406791228,0.154095289,0.16380367
1,30,1,3,GrowthYield,TET,0.3,1,0.550466308,0.512745048,0.341400667,0.354415194
1,30,1,3,DoublingTime,TET,0.6,2,0.347138748,0.373070193,0.234682289,0.218219887
1,30,1,3,GrowthYield,TET,0.6,2,0.61629068,0.621576161,0.737215047,0.723972783
1,30,1,3,DoublingTime,TET,1.25,3,0.661448919,0.651759421,0.313022809,0.301300575
1,30,1,3,GrowthYield,TET,1.25,3,0.641396,0.647580818,1.164884146,1.155911849
1,30,1,3,DoublingTime,TRIM,0.125,1,0.367183055,0.397233894,0.161699529,0.163755401
1,30,1,3,GrowthYield,TRIM,0.125,1,0.546204644,0.501277605,0.629444733,0.661458125
1,30,1,3,DoublingTime,TRIM,0.25,2,0.484505227,0.495922894,0.157582842,0.152129749
1,30,1,3,GrowthYield,TRIM,0.25,2,0.537889177,0.543711214,0.839999029,0.942906858
